web-scraper-order,web-scraper-start-url,name,name-href
"1626895457-1977","http://www.agrayellowpages.in/listing/categ.php?id=41","Doctors Physiotherapists","http://www.agrayellowpages.in/doctors-physiotherapists.html"
"1626895530-2354","http://www.agrayellowpages.in/listing/categ.php?id=8","Computer Graphics","http://www.agrayellowpages.in/computer-graphics-dtp-jobwork.html"
"1626895532-2377","http://www.agrayellowpages.in/listing/categ.php?id=7","Plastic Raw Material","http://www.agrayellowpages.in/plastic-raw-materials.html"
"1626895523-2302","http://www.agrayellowpages.in/listing/categ.php?id=11","Call Centre Training Institute","http://www.agrayellowpages.in/call-centre-training-institute.html"
"1626895546-2472","http://www.agrayellowpages.in/listing/categ.php?id=1","Plants Tissue culture","http://www.agrayellowpages.in/plant-tissue-culture.html"
"1626895516-2278","http://www.agrayellowpages.in/listing/categ.php?id=14","","http://www.agrayellowpages.in/.html"
"1626895457-1982","http://www.agrayellowpages.in/listing/categ.php?id=41","Doctors Sports Injury","http://www.agrayellowpages.in/doctors-sports-injury.html"
"1626895510-2215","http://www.agrayellowpages.in/listing/categ.php?id=17","Furniture","http://www.agrayellowpages.in/furniture-general.html"
"1626895487-2082","http://www.agrayellowpages.in/listing/categ.php?id=27","Pig Iron & Cast Iron","http://www.agrayellowpages.in/pig-iron-cast-iron.html"
"1626895507-2198","http://www.agrayellowpages.in/listing/categ.php?id=18","Crockery & Cuttlery","http://www.agrayellowpages.in/crockery-cutlery.html"
"1626895501-2161","http://www.agrayellowpages.in/listing/categ.php?id=21","Clubs & Cultural Association","http://www.agrayellowpages.in/clubs-cultural-associations.html"
"1626895523-2303","http://www.agrayellowpages.in/listing/categ.php?id=11","Coaching Classes General / Institute","http://www.agrayellowpages.in/coaching-classes-general-institute.html"
"1626895494-2132","http://www.agrayellowpages.in/listing/categ.php?id=24","Tele-communication Machines","http://www.agrayellowpages.in/tele-communication-systems-equp-manufacturers-suppliers.html"
"1626895546-2471","http://www.agrayellowpages.in/listing/categ.php?id=1","Ice Cream & Frozen Desserts Manufacturers & Wholesalers","http://www.agrayellowpages.in/ice-cream-frozen-desserts.html"
"1626895530-2357","http://www.agrayellowpages.in/listing/categ.php?id=8","Computer Manufacturers & Dealers","http://www.agrayellowpages.in/computer-manufacturer-dealers.html"
"1626895546-2458","http://www.agrayellowpages.in/listing/categ.php?id=1","Dairy Equipments Suppliers","http://www.agrayellowpages.in/dairy-equipments-suppliers.html"
"1626895483-2029","http://www.agrayellowpages.in/listing/categ.php?id=29","Adhesive, Glues & Gum Products","http://www.agrayellowpages.in/adhesive-glues-gum-products.html"
